osm_id,PSGC_BRGY_LIST,PROV_LIST
210935298,"{'PH150702068', 'PH150702065'}",{'BASILAN'}
210935305,"{'PH150702068', 'PH150702028', 'PH150702061', 'PH150702011', 'PH150702050'}",{'BASILAN'}
210935312,"{'PH150702068', 'PH150702016'}",{'BASILAN'}
276666890,"{'PH150702037', 'PH150702050'}",{'BASILAN'}
301620415,"{'PH150702065', 'PH150702066'}",{'BASILAN'}
4302971,"{'PH153812024', 'PH153812042'}",{'MAGUINDANAO'}
22772480,set(),set()
32806711,{'PH153812042'},{'MAGUINDANAO'}
32806748,set(),set()
32806760,set(),set()
32806767,set(),set()
32806769,set(),set()
32806796,"{'PH153812038', 'PH153812023', 'PH153812010'}",{'MAGUINDANAO'}
32806811,set(),set()
32806820,"{'PH153807002', 'PH153807015', 'PH153807007', 'PH153807035', 'PH153807024', 'PH153807031', 'PH153807032', 'PH153807010', 'PH153807033'}",{'MAGUINDANAO'}
40421143,{'PH153807002'},{'MAGUINDANAO'}
59805356,set(),set()
67588368,set(),set()
67588456,{'PH153812042'},{'MAGUINDANAO'}
67588457,{'PH153812042'},{'MAGUINDANAO'}
67588458,set(),set()
67588460,set(),set()
67588469,set(),set()
88670250,{'PH153812042'},{'MAGUINDANAO'}
88670287,set(),set()
88670317,set(),set()
88670344,set(),set()
88670378,set(),set()
88670402,set(),set()
88670502,"{'PH153812052', 'PH153812035', 'PH153812037', 'PH153812003', 'PH153812038', 'PH153812042', 'PH153812051', 'PH153812024', 'PH153812040'}",{'MAGUINDANAO'}
88670561,set(),set()
88670670,set(),set()
88670686,set(),set()
88670706,set(),set()
88670712,set(),set()
88670804,set(),set()
88670838,"{'PH153812020', 'PH153812009'}",{'MAGUINDANAO'}
88670919,set(),set()
88670927,set(),set()
88670998,set(),set()
88671055,set(),set()
88671169,set(),set()
88671182,set(),set()
88671231,set(),set()
88671260,"{'PH153814019', 'PH153814028'}",{'MAGUINDANAO'}
88671298,set(),set()
88671331,"{'PH153814001', 'PH153814019', 'PH153814017', 'PH153814006', 'PH153814003', 'PH153814018'}",{'MAGUINDANAO'}
88671349,set(),set()
88671386,set(),set()
88671409,set(),set()
88671415,set(),set()
88671429,set(),set()
88671438,set(),set()
88671469,"{'PH153807002', 'PH153807021'}",{'MAGUINDANAO'}
88671490,set(),set()
88671493,{'PH153812042'},{'MAGUINDANAO'}
88671499,set(),set()
88671518,set(),set()
88776580,{'PH153807002'},{'MAGUINDANAO'}
88776598,{'PH153807002'},{'MAGUINDANAO'}
88776599,{'PH153807002'},{'MAGUINDANAO'}
88776601,set(),set()
91892914,"{'PH153807002', 'PH153807014'}",{'MAGUINDANAO'}
95777428,"{'PH153812041', 'PH153812010', 'PH153812014', 'PH153812012', 'PH153812027'}",{'MAGUINDANAO'}
118610281,set(),set()
118610283,set(),set()
118632074,set(),set()
118632087,set(),set()
118632097,set(),set()
118632116,set(),set()
118667288,set(),set()
118667290,set(),set()
118668733,"{'PH153814019', 'PH153814028'}",{'MAGUINDANAO'}
118668735,set(),set()
118670718,set(),set()
118670719,{'PH153807032'},{'MAGUINDANAO'}
118671452,"{'PH153812006', 'PH153812042', 'PH153812009'}",{'MAGUINDANAO'}
118671454,{'PH153812009'},{'MAGUINDANAO'}
118671456,"{'PH153812030', 'PH153812020', 'PH153812004', 'PH153812009'}",{'MAGUINDANAO'}
118716359,{'PH153807002'},{'MAGUINDANAO'}
128184271,{'PH153812014'},{'MAGUINDANAO'}
128186984,set(),set()
128186986,set(),set()
128198451,set(),set()
128198452,set(),set()
128201783,set(),set()
128203377,set(),set()
128203379,set(),set()
128203717,set(),set()
128279478,set(),set()
128283754,set(),set()
128283757,set(),set()
128285167,set(),set()
128289649,set(),set()
128289651,set(),set()
128290508,set(),set()
128290510,set(),set()
128295123,set(),set()
128999603,set(),set()
129071105,set(),set()
129071921,set(),set()
129071922,set(),set()
129071961,set(),set()
129116222,{'PH153807028'},{'MAGUINDANAO'}
129116230,{'PH153807028'},{'MAGUINDANAO'}
129116508,"{'PH153807002', 'PH153807028'}",{'MAGUINDANAO'}
129117621,"{'PH153812006', 'PH153812042'}",{'MAGUINDANAO'}
129117622,"{'PH153812006', 'PH153812042'}",{'MAGUINDANAO'}
129117623,{'PH153812006'},{'MAGUINDANAO'}
129117639,{'PH153812042'},{'MAGUINDANAO'}
129117640,{'PH153812042'},{'MAGUINDANAO'}
129194922,"{'PH153812020', 'PH153812009'}",{'MAGUINDANAO'}
129194935,"{'PH153812020', 'PH153812009'}",{'MAGUINDANAO'}
129195054,set(),set()
129213058,{'PH153807010'},{'MAGUINDANAO'}
130871443,"{'PH153807035', 'PH153814028'}",{'MAGUINDANAO'}
130871444,{'PH153807035'},{'MAGUINDANAO'}
160554183,set(),set()
172999897,{'PH153807002'},{'MAGUINDANAO'}
173011071,set(),set()
177247333,set(),set()
211437691,set(),set()
211437692,set(),set()
251424676,{'PH153807026'},{'MAGUINDANAO'}
251480971,set(),set()
261093594,"{'PH153812024', 'PH153812014'}",{'MAGUINDANAO'}
261095843,set(),set()
261096030,set(),set()
335701487,"{'PH153807002', 'PH153807010'}",{'MAGUINDANAO'}
