ELEM_POPN,Pred_school_num,PSGC_BRGY
296.0,1.0,PH153836004
110.0,1.0,PH153836006
24.0,1.0,PH153836007
62.0,1.0,PH153836008
92.0,1.0,PH153836009
32.0,1.0,PH153836010
178.0,1.0,PH153836011
25.0,1.0,PH153836012
608.0,2.0,PH153836013
310.0,1.0,PH153837001
213.0,1.0,PH153837002
28.0,1.0,PH153837004
81.0,1.0,PH153837005
272.0,1.0,PH153837008
287.0,1.0,PH153837009
366.0,1.0,PH153837014
217.0,1.0,PH153837015
315.0,1.0,PH153837016
334.0,1.0,PH156601002
190.0,1.0,PH156601005
318.0,1.0,PH156601007
399.0,1.0,PH156601008
382.0,1.0,PH156601012
200.0,1.0,PH156601013
300.0,1.0,PH156601015
302.0,1.0,PH156601017
245.0,1.0,PH156601021
440.0,1.0,PH156601033
205.0,1.0,PH156601035
197.0,1.0,PH156601036
319.0,1.0,PH156604029
92.0,1.0,PH156605001
94.0,1.0,PH156605003
146.0,1.0,PH156605005
74.0,1.0,PH156605007
143.0,1.0,PH156605010
198.0,1.0,PH156605011
100.0,1.0,PH156605013
111.0,1.0,PH156605015
529.0,1.0,PH156605016
82.0,1.0,PH156605018
103.0,1.0,PH156605024
277.0,1.0,PH156607002
143.0,1.0,PH156607003
269.0,1.0,PH156607004
191.0,1.0,PH156607006
175.0,1.0,PH156607008
329.0,1.0,PH156607011
187.0,1.0,PH156607014
327.0,1.0,PH156607015
121.0,1.0,PH156607017
122.0,1.0,PH156607019
193.0,1.0,PH156607023
213.0,1.0,PH156607027
202.0,1.0,PH156607031
142.0,1.0,PH156607033
123.0,1.0,PH156607038
133.0,1.0,PH156607040
322.0,1.0,PH156607042
125.0,1.0,PH156607043
787.0,2.0,PH156609004
168.0,1.0,PH156609006
203.0,1.0,PH156609008
249.0,1.0,PH156609009
201.0,1.0,PH156609010
179.0,1.0,PH156609012
383.0,1.0,PH156609025
487.0,1.0,PH156609031
444.0,1.0,PH156609034
432.0,1.0,PH156609035
272.0,1.0,PH156609040
352.0,1.0,PH156609043
167.0,1.0,PH156609044
210.0,1.0,PH156610001
1048.0,2.0,PH156610013
137.0,1.0,PH156611002
245.0,1.0,PH156611005
232.0,1.0,PH156611006
222.0,1.0,PH156611016
738.0,2.0,PH156611017
178.0,1.0,PH156611018
93.0,1.0,PH156611019
163.0,1.0,PH156611020
119.0,1.0,PH156611022
162.0,1.0,PH156612001
93.0,1.0,PH156612006
207.0,1.0,PH156612013
132.0,1.0,PH156612026
158.0,1.0,PH156612038
96.0,1.0,PH156612041
118.0,1.0,PH156612065
107.0,1.0,PH156612067
239.0,1.0,PH156612071
395.0,1.0,PH156612073
129.0,1.0,PH156612080
325.0,1.0,PH156613010
298.0,1.0,PH156613020
256.0,1.0,PH156613023
210.0,1.0,PH156613024
359.0,1.0,PH156613029
504.0,1.0,PH156613032
264.0,1.0,PH156613035
390.0,1.0,PH156613043
287.0,1.0,PH156613055
279.0,1.0,PH156613058
159.0,1.0,PH156614030
475.0,1.0,PH156616005
496.0,1.0,PH156616009
123.0,1.0,PH156617006
187.0,1.0,PH156617013
228.0,1.0,PH156618001
129.0,1.0,PH156618008
73.0,1.0,PH156618013
147.0,1.0,PH156618015
195.0,1.0,PH156618016
209.0,1.0,PH157002015
264.0,1.0,PH157002019
132.0,1.0,PH157004010
444.0,1.0,PH157005022
66.0,1.0,PH157006001
112.0,1.0,PH157006005
92.0,1.0,PH157006007
127.0,1.0,PH157006009
288.0,1.0,PH157006010
394.0,1.0,PH157006012
169.0,1.0,PH157006013
160.0,1.0,PH157006015
129.0,1.0,PH157006016
106.0,1.0,PH157006017
81.0,1.0,PH157006024
129.0,1.0,PH157006029
172.0,1.0,PH157006030
161.0,1.0,PH157006033
157.0,1.0,PH157006034
239.0,1.0,PH157006036
99.0,1.0,PH157006037
120.0,1.0,PH157006038
74.0,1.0,PH157006039
269.0,1.0,PH157007002
224.0,1.0,PH157007009
112.0,1.0,PH157007012
565.0,1.0,PH157007033
217.0,1.0,PH157007041
141.0,1.0,PH157007044
137.0,1.0,PH157007047
128.0,1.0,PH157007048
230.0,1.0,PH157007051
183.0,1.0,PH157008002
63.0,1.0,PH157010007
289.0,1.0,PH157010017
193.0,1.0,PH157010018
210.0,1.0,PH157010023
258.0,1.0,PH157011001
180.0,1.0,PH157011003
294.0,1.0,PH157011005
302.0,1.0,PH157011006
390.0,1.0,PH157011016
247.0,1.0,PH150710005
134.0,1.0,PH153601019
225.0,1.0,PH153602004
142.0,1.0,PH153602011
149.0,1.0,PH153602032
38.0,1.0,PH153603051
199.0,1.0,PH153605019
376.0,1.0,PH153605025
198.0,1.0,PH153606027
108.0,1.0,PH153606033
208.0,1.0,PH153609002
115.0,1.0,PH153613012
252.0,1.0,PH153613014
117.0,1.0,PH153613015
48.0,1.0,PH153613041
380.0,1.0,PH153615080
131.0,1.0,PH153616055
203.0,1.0,PH153616071
130.0,1.0,PH153616111
172.0,1.0,PH153617001
118.0,1.0,PH153617037
438.0,1.0,PH153617048
741.0,2.0,PH153617058
369.0,1.0,PH153617062
1201.0,2.0,PH153617077
388.0,1.0,PH153617105
354.0,1.0,PH153617109
523.0,1.0,PH153617116
646.0,2.0,PH153617131
431.0,1.0,PH153617143
165.0,1.0,PH153618005
152.0,1.0,PH153619043
97.0,1.0,PH153621031
90.0,1.0,PH153623015
142.0,1.0,PH153624001
109.0,1.0,PH153624024
100.0,1.0,PH153624048
101.0,1.0,PH153624064
123.0,1.0,PH153626079
89.0,1.0,PH153627050
93.0,1.0,PH153627071
340.0,1.0,PH153630012
235.0,1.0,PH153631009
106.0,1.0,PH153631024
214.0,1.0,PH153631028
83.0,1.0,PH153633030
138.0,1.0,PH153634037
539.0,1.0,PH153808047
1450.0,2.0,PH153812006
629.0,2.0,PH153825009
5914.0,3.0,PH153833007
191.0,1.0,PH157006028
142.0,1.0,PH157011010
